,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
275,boAt Lunar Prime,Lunar Prime w/,35.3,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,10.0,2499
276,AMAZFIT GTS 3,"GTS 3 1,75",44.45,Android & iOS,No,Yes,No,Yes,AMOLED,420.0,Yes,0.05,12.0,9999
277,Noise Loop 1.85'',Loop 1.85'' Display,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.5,7.0,1399
278,boAt Storm Call,Storm Call 2,46.4,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1599
280,Kechaoda K115  ,K115,36.6,,No,No,No,No,Other,,No,,,1090
281,Google Pixel 8,Pixel 8 Pro,170.2,,No,No,Yes,No,TFT LED,,Yes,,,113999
282,beatXP Evoke Neo,Evoke Neo 1.43'',36.32,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1999
283,"Pebble Celia 1.32""","Celia 1.32"" HD",33.52,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,0.0,7.0,2499
284,SAMSUNG Galaxy F13,Galaxy F13,167.60000000000002,,No,No,Yes,No,HD,,Yes,,,9999
285,"itel it2163s 4.5cm,1200mAh,BT","it2163s 4.5cm,1200mAh,BT Caller,12+1",45.7,,No,No,No,No,Other,,No,,,948
286,Qexle NEW S8,NEW S8 Ultra,49.0,Android & iOS,Yes,Yes,Yes,No,AMOLED,1080.0,Yes,10.0,7.0,6649
287,SAMSUNG Galaxy A34,Galaxy A34 5G,167.60000000000002,,No,No,Yes,No,Super AMOLED,,Yes,,,27499
293,KEP ID116 SMARTWATCH,ID116 SMARTWATCH,44.0,Android & iOS,Yes,Yes,No,No,Other,400.0,Yes,,36.0,480
295,SAMSUNG Galaxy S20,Galaxy S20 FE,165.10000000000002,,No,No,No,No,Other,,Yes,,,27887
296,Rock A1 Black,"A1 Black Color,",40.0,Android & iOS,Yes,Yes,No,No,IPS LCD,,Yes,,2.0,829
299,AYANSHENTRPRISE ID116 Smartwatch  ,ID116,1.33,Android,Yes,Yes,No,No,Other,380.0,Yes,,5.0,399
300,SHANVI ENTERPRISES T800,T800 Ultra Honeycomp,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,679
301,beatXP Marv Super,Marv Super with,50.8,Android & iOS,Yes,Yes,No,No,HD,261.0,Yes,1.5,7.0,1299
302,Fastrack Revoltt FS1,Revoltt FS1 Max|Biggest,49.53,Android & iOS,Yes,Yes,No,No,IPS LCD,289.0,Yes,1.5,5.0,2299
303,Fire-Boltt Legacy 1.43,Legacy 1.43 AMOLED,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,0.2916666666666667,4499
305,Nokia G42 5G,G42 5G,166.6,,No,No,No,No,Other,,Yes,,,16699
306,boAt Wave Fury,Wave Fury with,46.482,Android & iOS,Yes,Yes,No,No,Other,,Yes,,7.0,1499
308,"beatXP Flux 1.45""","Flux 1.45"" (3.6",36.83,Android & iOS,Yes,Yes,No,No,Other,415.0,Yes,,7.0,1099
310,JAMMY ZONES New,New Edition BT,44.0,Android & iOS,Yes,Yes,No,No,TFT LED,320.0,Yes,50.0,8.0,715
311,MOTOROLA g54 5G,g54 5G,165.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,13999
312,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
313,boAt Wave Beat,Wave Beat with,41.91,Android & iOS,No,Yes,No,No,Other,260.0,Yes,,7.0,1299
317,POCO C55   ,C55,170.39999999999998,,No,No,Yes,No,Other,,Yes,,,7499
318,Remaxa T800 ultra,"T800 ultra 1.99""Premium",49.0,Android & iOS,Yes,Yes,No,No,HD,,Yes,1.0,7.0,629
322,Apple Watch Series,"Watch Series 8,",41.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,391.0,Yes,50.0,0.75,27999
324,Fitshot Aster 1.43inch,Aster 1.43inch round,36.322,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,,7.0,2499
325,Pebble Cosmos Luxe,Cosmos Luxe 2.0,36.322,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,5.0,0.20833333333333334,2799
327,VYGHA COLLECTION T800,T800 S8 Ultra,69.0,Android & iOS,Yes,Yes,Yes,Yes,TFT LED,1080.0,Yes,10.0,10.0,849
328,beatXP Marv Neo,Marv Neo 1.85'',46.0,Android & iOS,Yes,Yes,No,No,HD,260.0,Yes,1.5,7.0,1299
329,boAt Storm Connect,Storm Connect Plus,48.513999999999996,Android & iOS,Yes,Yes,No,No,Other,261.0,Yes,,7.0,1499
331,Nitti Gritti ID116,ID116,40.0,Android & iOS,No,Yes,No,No,Other,,Yes,,0.20833333333333334,405
332,boAt Wave Arcade,Wave Arcade with,45.974,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1799
334,YAROH NMM_496A_T800 ULTRA,NMM_496A_T800 ULTRA 8,1.33,Android & iOS,Yes,Yes,No,No,Other,312.0,Yes,,24.0,645
336,EVAAENTERPRISES I20 AMAZING,I20 AMAZING BOOM,49.0,Android & iOS,Yes,Yes,No,No,HD,,Yes,10.0,5.0,2069
337,Gamesir T55 BT,T55 BT Calling,45.0,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,0.5,3.0,664
338,Fire-Boltt Apollo 3,Apollo 3 Luxury,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,7.0,2199
345,POCO C55   ,C55,170.39999999999998,,No,No,Yes,No,Other,,Yes,,,7499
348,Ambrane Fyre 2.04,Fyre 2.04 AMOLED,51.816,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,5.0,1799
351,Boult CrownR Pro,CrownR Pro 1.43''HD,36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,5.0,1999
352,Ykarn Trades F300,F300(D20) PLUS MULTI,4.0,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,424
355,Envilean T500 1.44,T500 1.44 Inch,32.0,Android & iOS,No,Yes,No,No,Other,,Yes,,2.0,679
356,"Boston Levin Infinity1.85"",Amoled","Infinity1.85"",Amoled Display,Full Touch",46.99,Android & iOS,Yes,Yes,No,Yes,HD,140.0,Yes,1.5,30.0,1799
357,TULUA T900 Ultra,T900 Ultra Big,49.0,Android & iOS,Yes,Yes,No,No,HD,1080.0,Yes,10.0,3.0,756
358,boAt Wave Arcade,Wave Arcade with,45.974,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1799
359,"Pebble Celia 1.32""","Celia 1.32"" HD",33.52,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,0.0,7.0,2999
360,Tecno Spark Go,Spark Go 2023,166.6,,No,No,No,No,IPS,,Yes,,,6397
361,Fire-Boltt Talk Go,Talk Go 1.3'',33.019999999999996,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,15.0,1399
364,Boult Drift+ Bluetooth,"Drift+ Bluetooth Calling,",46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,7.0,1099
367,Fastrack Revoltt FS1|1.83,Revoltt FS1|1.83 Display|BT,46.48,Android & iOS,Yes,Yes,No,No,IPS LCD,262.0,Yes,1.5,5.0,1599
368,boAt Lunar Mirage,Lunar Mirage with,38.6,Android & iOS,Yes,Yes,No,No,Other,383.0,Yes,,7.0,1899
369,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
371,Vibez Muse Smart,Muse Smart Watch,48.54,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,,7.0,1499
373,Boult Drift+ Bluetooth,"Drift+ Bluetooth Calling,",46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,7.0,1099
374,"Ambrane Wise-Roam 2,","Wise-Roam 2, 1.39""",35.306,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,10.0,1499
375,Boult CrownR Pro,CrownR Pro 1.43''HD,36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,5.0,1999
379,Gamesir I8 Pink-A1,I8 Pink-A1 Full,39.0,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,0.5,2.0,675
381,boAt Wave Infinity,Wave Infinity with,46.99,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1999
383,Fastrack Revoltt FR1,Revoltt FR1 Pro|1.3Inch,33.019999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,360.0,Yes,1.5,5.0,2499
384,Ykarn Trades F277,F277(D20) ULTRA FITNESS,4.0,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,445
388,Noise Qube 2,"Qube 2 1.96""",49.784,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,1.0,7.0,1399
390,TECHMAZE DZ09 Bluetooth,DZ09 Bluetooth 4G,40.0,Android & iOS,Yes,Yes,Yes,Yes,Other,312.0,Yes,5.0,8.0,879
391,AMAZFIT POP 3R,POP 3R Smart,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.5,12.0,3999
393,Fire-Boltt Destiny 1.39'',Destiny 1.39'' Stainless,35.306,Android & iOS,Yes,Yes,No,No,IPS TFt,360.0,Yes,1.0,9.0,2199
394,Ciberer BTALK2 1.43,BTALK2 1.43 HD,36.0,Android & iOS,Yes,Yes,No,No,Super AMOLED,466.0,Yes,1.0,7.0,3699
395,DSSB ID116 Plus,ID116 Plus Bluetooth,42.0,Android,No,Yes,No,No,IPS LCD,10.0,Yes,,10.0,456
396,beatXP Vega Neo,Vega Neo 1.43”,36.32,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1799
398,boAt Lunar Call,Lunar Call Plus,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,,7.0,3499
401,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
402,Pebble Cosmos Nova,"Cosmos Nova 1.96""",49.784,Android & iOS,Yes,Yes,No,No,IPS TFt,353.0,Yes,1.0,0.2916666666666667,2299
404,Noise Vision 3,Vision 3 with,49.784,Android & iOS,Yes,Yes,No,No,Other,456.0,Yes,,7.0,3499
405,fire turtle T800,T800 8 Ultra,45.0,Android,Yes,Yes,No,No,Other,1080.0,Yes,,1.0,1099
407,"Fire-Boltt Ultimate 1.39""","Ultimate 1.39"" Stainless",35.306,Android & iOS,Yes,Yes,No,No,HD,240.0,Yes,1.0,30.0,2199
412,PunnkFunnk T800 ultra,T800 ultra Series,49.0,Android & iOS,Yes,Yes,No,No,Super AMOLED,,Yes,0.5,0.08333333333333333,779
415,"SAMSUNG Watch 4,","Watch 4, 44mmSuper",35.559999999999995,Android,Yes,Yes,No,No,Super AMOLED,450.0,Yes,50.0,40.0,10999
419,vivo Y17s   ,Y17s,166.6,,No,No,Yes,No,IPS LCD,,Yes,,,11499
421,AYANSHENTRPRISE ID 116,ID 116,32.0,Android,Yes,Yes,No,No,Other,140.0,Yes,,4.0,381
422,GFive Rose 316  ,Rose 316,45.7,,No,No,No,No,Other,,No,,,649
423,boAt Storm call,Storm call 1.69,42.925999999999995,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1499
425,Bonafide T900 Ultra,"T900 Ultra 2.09""",54.0,Android & iOS,Yes,Yes,No,Yes,AMOLED,353.0,Yes,1.0,3.0,683
426,CrossBeats Armour Dive,Armour Dive –,36.3,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,10.0,15.0,3999
428,NIKHILX T800 ultra,T800 ultra smart,49.0,Android,Yes,Yes,No,No,Other,1024.0,Yes,,4.0,641
429,alt OG Bluetooth,"OG Bluetooth Calling,",42.926,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1099
430,Nokia 5310 DS,5310 DS Keypad,61.0,,No,No,Yes,No,Other,,No,,,3299
432,DIZO Watch 2,Watch 2 sports,42.925999999999995,Android & iOS,No,Yes,No,No,IPS TFt,260.0,Yes,50.0,10.0,1499
434,"beatXP Flux 1.45""","Flux 1.45"" (3.6",36.83,Android & iOS,Yes,Yes,No,No,Other,415.0,Yes,,7.0,1099
435,Urban Wings Ultra,Ultra 9 Smart,49.0,Android,Yes,Yes,No,No,Other,452.0,Yes,,1.0,613
438,Siya Shine T-500,T-500 Smart Watch,43.0,Android & iOS,Yes,Yes,No,No,IPS LCD,240.0,Yes,,5.0,642
439,alt Vibe Lite,Vibe Lite Bluetooth,32.512,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,5.0,1299
441,POCO C51   ,C51,165.6,,No,No,Yes,No,HD,,Yes,,,6499
442,Jinisha T800 Android,T800 Android Smart,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,850
443,"Fire-Boltt Hurricane 1.3""","Hurricane 1.3"" Curved",1.3,Android & iOS,No,Yes,No,No,HD,240.0,Yes,1.0,15.0,1299
444,Pebble Cosmos Quest,"Cosmos Quest 1.43""AMOLED",36.32,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,1.0,7.0,2799
445,Fire-Boltt Ninja Pro,Ninja Pro Max,51.053999999999995,Android & iOS,Yes,Yes,No,No,IPS TFt,266.0,Yes,1.0,25.0,1199
446,"Noise Impact 2""","Impact 2"" HD",50.8,Android & iOS,Yes,Yes,No,No,IPS TFt,268.0,Yes,1.0,7.0,1499
447,Fastrack Revoltt FS1,Revoltt FS1 Max|Biggest,49.53,Android & iOS,Yes,Yes,No,No,IPS LCD,289.0,Yes,1.5,5.0,2299
448,FRONY VF_Ultra 8,VF_Ultra 8 Watch,45.0,Android & iOS,Yes,Yes,No,No,Other,1024.0,Yes,,1.0,999
449,EVAAENTERPRISES T-800 Smartwatch  ,T-800,25.0,Android & iOS,Yes,Yes,No,No,Other,1080.0,Yes,,4.0,656
450,Boult Cosmic R,"Cosmic R 1.3""HD,",33.02,Android & iOS,No,Yes,No,No,IPS TFt,240.0,Yes,1.5,10.0,1199
451,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
455,Apple Watch Series,Watch Series 9,41.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,391.0,Yes,50.0,0.75,41900
457,Rock DZ09 Golden,DZ09 Golden 4G,40.0,Android & iOS,Yes,Yes,No,No,IPS LCD,,Yes,,2.0,774
458,PIXIR Phone Bluetooth,Phone Bluetooth Wrist,254.0,Android & iOS,Yes,Yes,Yes,Yes,AMOLED,240.0,Yes,100.0,10.0,769
459,"Noise Impact 2""","Impact 2"" HD",50.8,Android & iOS,Yes,Yes,No,No,IPS TFt,268.0,Yes,1.0,7.0,1499
460,PunnkFunnk T55 Double,T55 Double Pair,35.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,0.5,3.0,699
461,Apple Watch Series,Watch Series 9,41.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,391.0,Yes,50.0,0.75,41900
463,"Pebble Vogue 1.96""","Vogue 1.96"" Amoled",49.784,Android & iOS,Yes,Yes,No,No,AMOLED,456.0,Yes,1.0,5.0,2099
464,Fire-Boltt Commando 1.95,Commando 1.95 AMOLED,49.784,Android & iOS,Yes,Yes,No,No,AMOLED,456.0,Yes,,5.0,2199
465,Tecno Pova 5,Pova 5 45W,172.2,,No,No,No,No,Other,,Yes,,,10499
466,Fastrack Optimus with,Optimus with 1.43'',36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.5,7.0,3499
468,"Cellecor STEW 1.83""","STEW 1.83"" BT",46.482,Android & iOS,Yes,Yes,No,No,HD,262.0,Yes,1.5,35.0,1279
470,boAt Wave Fury,Wave Fury with,46.482,Android & iOS,Yes,Yes,No,No,Other,,Yes,,7.0,1699
476,Noise Caliber 3,Caliber 3 1.78,45.212,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,2499
477,Techfly T800 Ultra,T800 Ultra Watch,49.0,Android & iOS,Yes,Yes,No,No,HD,420.0,Yes,,1.0,855
478,Fire-Boltt Ninja Talk,Ninja Talk 1.39'',35.306,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,6.0,2499
479,Y2H Enterprises SA499,SA499(Y68) LATEST HEART,4.0,Android & iOS,No,Yes,No,No,TFT LED,240.0,Yes,50.0,5.0,544
481,nkk IDS116 SMART,IDS116 SMART BRACELET,44.0,Android,No,Yes,No,No,Other,400.0,Yes,,24.0,375
482,Fire-Boltt Hunter 2.01,Hunter 2.01 inch,51.053999999999995,Android & iOS,Yes,Yes,No,Yes,IPS TFt,268.0,Yes,1.0,5.0,1599
484,Fire-Boltt Legacy 1.43,Legacy 1.43 AMOLED,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,0.2916666666666667,3799
485,"Pebble Carbon 1.39""HD","Carbon 1.39""HD Display,Black",35.3,Android & iOS,Yes,Yes,No,No,HD,,Yes,1000.0,7.0,1299
487,Fire-Boltt Legacy 1.43,Legacy 1.43 AMOLED,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,0.2916666666666667,4499
490,S2D Rose Gold,Rose Gold Smartwatch,45.0,Android & iOS,Yes,Yes,No,No,Other,209.0,Yes,,1.0,2029
491,TECHMAZE T800 Ultra,T800 Ultra Honeycomp,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,797
496,beatXP Evoke 1.43'',Evoke 1.43'' Super,36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,6.3,7.0,1999
499,phinix Gen-9 Always,Gen-9 Always on,44.0,Android & iOS,Yes,Yes,No,No,HD,320.0,Yes,,2.0,1880
504,Fire-Boltt Shark 1.83'',Shark 1.83'' Smartwatch,46.482,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.0,13.0,1799
505,"alt Vibe Pro,","Vibe Pro, 1.5""",38.1,Android & iOS,Yes,Yes,No,No,IPS LCD,360.0,Yes,,7.0,1999
511,Noise Colorfit Icon,Colorfit Icon 2,45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1499
512,"Fire-Boltt Wonder 1.8""","Wonder 1.8"" Bluetooth",45.72,Android & iOS,Yes,Yes,No,No,IPS,263.0,Yes,1.0,8.0,1199
513,boAt Wave Select,Wave Select with,41.91,Android & iOS,No,Yes,No,No,Other,260.0,Yes,,10.0,1299
514,AMAZFIT Pop 2,Pop 2 with,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,,10.0,3999
517,NIKHILX S8 ULTRA,S8 ULTRA 5G,49.0,Android,Yes,Yes,No,No,Other,1024.0,Yes,0.5,4.0,598
520,Fastrack Revoltt FS1+|2.01'',Revoltt FS1+|2.01'' Biggest,51.053999999999995,Android & iOS,Yes,Yes,No,No,IPS LCD,263.0,Yes,1.5,5.0,1799
521,VINJURI T800 ULTRA,T800 ULTRA SMARTWATCH,1080.0,Android & iOS,Yes,Yes,No,No,IPS LCD,1080.0,Yes,10.0,4.0,598
524,Noise Icon Buzz,"Icon Buzz 1.69""",42.925999999999995,Android & iOS,Yes,Yes,No,No,IPS LCD,260.0,Yes,1.0,7.0,1299
525,boAt Wave Infinity,Wave Infinity with,46.99,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1999
528,Shauryam Smart Watch,Smart Watch for,40.0,Android & iOS,No,Yes,Yes,Yes,IPS TFt,180.0,Yes,3.0,5.0,478
529,AYANSHENTRPRISE id 116,id 116,10.0,Android,Yes,Yes,No,No,Other,120.0,Yes,,2.0,439
530,SPEEDFOX Unisex smart,Unisex smart watch,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,720.0,Yes,,,737
533,Noise Thrive 1.85'',Thrive 1.85'' Display,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,,7.0,1499
534,Fitshot Aster 1.43inch,Aster 1.43inch round,36.322,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,,7.0,2499
535,"Boston Levin Infinity1.85"",Amoled,Full","Infinity1.85"",Amoled,Full Touch Screen,Smart",46.99,Android & iOS,Yes,Yes,No,Yes,HD,140.0,Yes,1.5,30.0,1799
537,Gunjan Sales UltraT-800,UltraT-800 Series 8,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,681
538,EVAAENTERPRISES T-800 Smartwatch  ,T-800,25.0,Android & iOS,Yes,Yes,No,No,Other,1080.0,Yes,,4.0,597
539,POCO X5 5G,X5 5G,169.4,,No,No,Yes,No,Super AMOLED,,Yes,,,14999
546,ShopSmart A1 Smart,A1 Smart Watch,40.0,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,5.0,994
549,Fire-Boltt King Luxury,King Luxury Stainless,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,7.0,2999
552,Fire-Boltt Ninja Talk,Ninja Talk 1.39'',35.306,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,6.0,1599
553,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,54900
554,Melbon I8 Pro,I8 Pro Max,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,,3.0,699
556,"Fire-Boltt Cyclone Pro,","Cyclone Pro, 1.43�",36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,9.0,1999
557,EVAAENTERPRISES T 800,T 800,25.0,Android & iOS,Yes,Yes,No,No,Other,1080.0,Yes,,4.0,897
558,PunnkFunnk Men's &,Men's & Women's,45.0,Android & iOS,Yes,Yes,No,No,AMOLED,420.0,Yes,0.5,3.0,799
559,AOUDLOUD Bluetooth Calling/Music/Fitness,Bluetooth Calling/Music/Fitness Feature,45.0,Android & iOS,Yes,Yes,No,No,IPS LCD,262.0,Yes,120.0,7.0,1999
563,"Boston Levin Infinity1.85"",Amoled","Infinity1.85"",Amoled Display,Full Touch",46.99,Android & iOS,Yes,Yes,No,Yes,HD,140.0,Yes,,30.0,1799
564,Noise NoiseFit Active,NoiseFit Active with,32.5,Android & iOS,No,Yes,No,Yes,IPS TFt,240.0,Yes,50.0,7.0,1999
565,Noise Icon 3,"Icon 3 1.91""",48.513999999999996,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,,7.0,1499
567,boAt Ultima Connect,Ultima Connect with,46.228,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1299
571,REDMI A1+   ,A1+,165.6,,No,No,Yes,No,HD,,Yes,,,8499
573,KARBONN K9 Yodha  ,K9 Yodha,45.7,,No,No,No,No,IPS TFt,,No,,,1139
576,Fire-Boltt Hunter 2.01,Hunter 2.01 inch,51.053999999999995,Android & iOS,Yes,Yes,No,Yes,IPS TFt,268.0,Yes,1.0,5.0,1599
578,Mui Ultra Seris,Ultra Seris 8,49.0,Android & iOS,Yes,Yes,No,No,HD,320.0,Yes,,1.0,672
579,Fire-Boltt Shark 1.83'',Shark 1.83'' Smartwatch,46.482,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.0,16.0,1799
581,Clairbell CPC_138L_A1 Smart,CPC_138L_A1 Smart Watchwatch,40.0,Android & iOS,Yes,Yes,No,No,Other,315.0,Yes,50.0,31.0,999
582,Fire-Boltt Shark 1.83'',Shark 1.83'' Smartwatch,46.482,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.0,15.0,1799
584,Like Star New,New T800 Series,50.0,Android & iOS,Yes,Yes,No,No,Other,,Yes,,3.0,649
585,Ambrane Wise Eon,Wise Eon Pro1.85,46.99,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,10.0,1499
586,SHANVI ENTERPRISES T800,T800 Ultra Honeycomp,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,757
587,Fire-Boltt Apollo 3,Apollo 3 Luxury,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,7.0,2199
589,Fire-Boltt Commando 1.95,Commando 1.95 AMOLED,49.784,Android & iOS,Yes,Yes,No,No,AMOLED,456.0,Yes,,5.0,2099
590,BalajiCommunication  i20,(10 in 1,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,1024.0,Yes,10.0,4.0,2379
593,Boult Sterling Pro,Sterling Pro BT,36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,7.0,2199
594,itel it5027  ,it5027,61.0,,No,No,No,No,Other,,No,,,1169
595,"Noise Impact 2""","Impact 2"" HD",50.8,Android & iOS,Yes,Yes,No,No,IPS TFt,268.0,Yes,1.0,7.0,1499
597,"Fire-Boltt Cobra 1.78""","Cobra 1.78"" AMOLED",45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,5.0,2799
598,Noise Icon 2,Icon 2 1.8'',45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1499
601,Noise Fit Buzz,Fit Buzz with,33.52,Android & iOS,Yes,Yes,No,No,Other,360.0,Yes,,7.0,1499
602,Pebble Frost Pro,Frost Pro,49.784,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,1.0,0.20833333333333334,1199
603,"SGG Gen 9,","Gen 9, Diamond",44.0,Android,No,Yes,Yes,Yes,HD,360.0,Yes,,3.0,1959
604,Boult Drift 2,Drift 2 BT,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.0,7.0,1299
606,boAt Lunar Space,Lunar Space Plus,35.306,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,2099
608,Pebble Cosmos Engage,"Cosmos Engage 1.95""",49.53,Android & iOS,Yes,Yes,No,No,IPS TFt,460.0,Yes,1.0,0.16666666666666666,2299
611,alt Vibe Lite,Vibe Lite Bluetooth,32.512,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,5.0,1299
612,REDMI 11 Prime,11 Prime,167.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,10999
614,alt OG Pro,OG Pro BT,49.022,Android & iOS,Yes,Yes,No,No,Other,340.0,Yes,,7.0,1999
