,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
616,Cyxus 4G Smart,Smart 4G calling,40.0,Android & iOS,Yes,Yes,No,No,Other,,Yes,,2.0,899
617,FRONY ND106_D20 ULTRA,ND106_D20 ULTRA ACTIVITY,26.0,Android & iOS,No,Yes,No,No,Other,312.0,Yes,,24.0,499
618,TECHMAZE I8 Pro,I8 Pro Max,40.0,Android & iOS,Yes,Yes,No,No,HD,,Yes,70.0,2.0,705
621,Fastrack Revoltt FS1,Revoltt FS1 Pro|World's,49.78,Android & iOS,Yes,Yes,No,No,Super AMOLED,456.0,Yes,1.5,7.0,2999
625,Melbon T800 Trending,T800 Trending Bluetooth,49.0,Android & iOS,Yes,Yes,No,No,IPS,420.0,Yes,0.5,3.0,800
626,Pebble Cosmos Vault,"Cosmos Vault 1.43""Amoled",36.322,Android & iOS,Yes,Yes,No,No,IPS TFt,466.0,Yes,1.0,0.20833333333333334,2199
628,boAt Storm Plus,Storm Plus with,45.211999999999996,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,1999
629,JANROCK D18 smart,"D18 smart bracelet,fitness",40.0,Android & iOS,No,Yes,No,No,HD,,Yes,,,549
630,Noise Caliber Buzz,Caliber Buzz 1.69'',42.926,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,10.0,1599
631,REDMI 12   ,12,172.5,,No,No,Yes,No,HD,,Yes,,,10499
632,Infinix SMART 8,SMART 8 HD,167.60000000000002,,No,No,Yes,No,IPS,,Yes,,,6299
633,Boult Drift 2,Drift 2 BT,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.0,7.0,1299
636,BOOMFIRE T800 Ultra,T800 Ultra 4G,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,764
637,Noise Thrill with,"Thrill with 2""",50.8,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,1.5,15.0,2199
638,Boult Rover Pro,"Rover Pro 1.43""",36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.5,7.0,1999
640,Ambrane Fyre 2.04,Fyre 2.04 AMOLED,51.816,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,5.0,1799
643,"Fire-Boltt Blizzard 1.28""","Blizzard 1.28"" Luxury",32.512,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,7.0,3599
644,Fastrack Revoltt FS1|1.83,Revoltt FS1|1.83 Display|BT,46.48,Android & iOS,Yes,Yes,No,No,IPS LCD,262.0,Yes,1.5,5.0,1599
647,"Fire-Boltt Combat 1.95""","Combat 1.95"" Large",49.529999999999994,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,1.0,7.0,2199
648,Gunjan Sales T800/T100/T700,T800/T100/T700 Ultra smartwatch,,Android & iOS,Yes,Yes,No,No,AMOLED,489.0,Yes,,4.0,730
650,Noise Pro 5,Pro 5 1.85,46.99,Android & iOS,Yes,Yes,No,No,AMOLED,420.0,Yes,1.5,7.0,4499
651,Ciberer BTALK2 1.43,BTALK2 1.43 HD,36.0,Android & iOS,Yes,Yes,No,No,Super AMOLED,466.0,Yes,1.0,7.0,3699
652,NB EMPIRE Smart,Smart Watch S8,,Android & iOS,Yes,Yes,No,Yes,AMOLED,320.0,Yes,,3.0,598
653,Nokia 8210 4G,8210 4G Volte,71.10000000000001,,No,No,No,No,Other,,No,,,3549
654,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
655,Ciberer Beyond3 1.43,Beyond3 1.43 AMOLED,36.0,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,30.0,14.0,3599
656,POCO M6 Pro,M6 Pro 5G,172.5,,No,No,Yes,No,HD,,Yes,,,11999
657,Noise Colorfit Icon,Colorfit Icon 2,45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1499
658,boAt Lunar Connect,Lunar Connect with,32.512,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,1729
659,YAAH CREATION Ben,Ben ten Projector,25.0,Windows,No,No,No,No,Other,,No,,,257
663,NSP STORE T800,T800 Ultra Smart,45.0,Android & iOS,Yes,Yes,Yes,Yes,TFT LED,1024.0,Yes,0.5,2.0,1278
665,Fire-Boltt Supernova 1.78,Supernova 1.78 AMOLED,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,5.0,2799
668,TECHMAZE Android Smart,Android Smart Watch,,Android & iOS,Yes,Yes,No,Yes,AMOLED,320.0,Yes,,3.0,1899
669,Dufort DUFORT DZ09,DUFORT DZ09 Smartwatch,44.0,Android & iOS,Yes,Yes,No,No,IPS TFt,320.0,Yes,100.0,2.0,762
670,Fastrack Revoltt FS1|1.83,Revoltt FS1|1.83 Display|BT,46.48,Android & iOS,Yes,Yes,No,No,IPS LCD,262.0,Yes,1.5,5.0,1599
671,Noise Pro 5,Pro 5 Max,49.784,Android & iOS,Yes,Yes,No,No,AMOLED,420.0,Yes,1.5,7.0,4999
676,Noise Fuse Plus,"Fuse Plus 1.43""",36.322,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1999
677,boAt Lunar Mirage,Lunar Mirage with,38.6,Android & iOS,Yes,Yes,No,No,Other,383.0,Yes,,7.0,2099
679,maavi T800 Ultra,T800 Ultra Watch,49.0,Android & iOS,Yes,Yes,No,No,HD,320.0,Yes,,3.0,709
680,Nokia 105 DS,105 DS (2023),45.7,,No,No,No,No,Other,,No,,,1465
681,Fastrack Revoltt FS1,Revoltt FS1 Max|Biggest,49.53,Android & iOS,Yes,Yes,No,No,IPS LCD,261.0,Yes,1.5,5.0,2299
682,Rhobos A96 All,A96 All In,40.0,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,2.0,1999
683,beatXP Marv Ace,Marv Ace 1.85'',46.99,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,999
685,SAMSUNG Galaxy Z,Galaxy Z Flip4,170.2,,No,No,Yes,No,AMOLED,,Yes,,,59999
686,NIKHILX T800 Ultra,T800 Ultra,45.0,Android & iOS,Yes,Yes,No,No,Other,720.0,Yes,,2.0,598
687,beatXP Marv Aura,Marv Aura 1.83”,46.0,Android & iOS,Yes,Yes,No,No,HD,262.0,Yes,,7.0,999
689,Ambrane Wise Glaze,Wise Glaze with,45.212,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,1799
691,Vibez by Lifelong,by Lifelong Sigma,35.306,Android & iOS,Yes,Yes,No,No,IPS LCD,360.0,Yes,30.0,6.0,1999
692,MOTOROLA Edge 40,Edge 40 Neo,166.4,,No,No,Yes,No,TFT LED,,Yes,,,22999
693,Pebble Frost Pro,"Frost Pro 1.96""",49.784,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,1.0,0.20833333333333334,1199
695,Grekey T500 Bluetooth,T500 Bluetooth Calling,44.0,Android & iOS,Yes,Yes,No,Yes,TFT LED,480.0,Yes,,2.0,595
696,AeoFit Atlas Bluetooth,Atlas Bluetooth Calling,46.0,Android & iOS,Yes,Yes,No,No,HD,,Yes,,3.0,1823
698,HLMT Teenagers LED,Teenagers LED Luxurious,34.0,Proprietary OS,No,No,No,No,Other,,No,30.0,0.25,239
701,AYANSHENTRPRISE ID116 Smartwatch  ,ID116,10.0,Android,Yes,Yes,No,No,Other,380.0,Yes,,3.0,389
702,"Ambrane Wise-Roam 2,","Wise-Roam 2, 1.39""",35.306,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,10.0,1499
704,Mui T900 Ultra,T900 Ultra 2.09,49.0,Android & iOS,Yes,Yes,No,No,HD,353.0,Yes,,48.0,699
706,Fire-Boltt Rise Luxe,Rise Luxe Stainless,46.99,Android & iOS,Yes,Yes,No,No,IPS LCD,260.0,Yes,1.0,7.0,1499
707,Noise Mighty BT,Mighty BT Calling,49.784,Android & iOS,Yes,Yes,No,No,IPS TFt,263.0,Yes,1.5,7.0,2499
708,Noise Caliber Go,"Caliber Go 1.69""",43.0,Android & iOS,No,Yes,No,No,Other,260.0,Yes,,10.0,1299
709,boAt Wave Flex,Wave Flex Connect,46.482,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1529
714,Fire-Boltt Shark 1.83'',Shark 1.83'' Smartwatch,46.482,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.0,14.0,1799
715,Noise Fuse 1.38'',Fuse 1.38'' Round,35.052,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,1399
716,Ambrane Crest Pro,Crest Pro 1.52'',38.608,Android & iOS,Yes,Yes,No,No,Other,360.0,Yes,,7.0,1999
717,hoover DZO9 Smartwatch,DZO9 Smartwatch 0011,40.0,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,20.0,684
718,TIGFANTER T800 Ultra,T800 Ultra 8,45.0,Android & iOS,Yes,Yes,No,No,HD,1080.0,Yes,10.0,3.0,649
719,CrossBeats Orbit Apex,Orbit Apex SUPER,35.56,Android & iOS,Yes,Yes,No,No,Super AMOLED,454.0,Yes,30.0,10.0,3299
720,AOUDLOUD Bluetooth Calling/Music/Fitness,Bluetooth Calling/Music/Fitness Feature,49.0,Android & iOS,Yes,Yes,No,No,HD,450.0,Yes,100.0,7.0,638
721,alt Vibe BT,Vibe BT Calling,35.052,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,1299
722,MOTOROLA g13   ,g13,165.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,8999
724,Bymaya D312 ADVANCE,D312(A1) ADVANCE HEART,34.0,Android & iOS,No,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,694
725,Noise Fuse Plus,"Fuse Plus 1.43""",36.322,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1999
728,KARBONN KX 29  ,KX 29,61.0,,No,No,No,No,Other,,No,,,1406
729,"Boult Striker+ 1.39""","Striker+ 1.39"" HD,",35.306,Android & iOS,Yes,Yes,No,No,HD,240.0,Yes,1.0,7.0,1299
730,Infinix SMART 8,SMART 8 HD,167.60000000000002,,No,No,Yes,No,IPS,,Yes,,,6299
735,boAt Lunar Tigon,Lunar Tigon with,36.3,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,10.0,3099
737,beatXP Vector 1.30'',Vector 1.30'' HD,33.02,Android & iOS,Yes,Yes,No,No,Other,320.0,Yes,,7.0,999
738,boAt Storm Call,Storm Call 2,46.4,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1699
740,FITRIC X8 ultra,X8 ultra Ultra,1.99,Android & iOS,Yes,Yes,No,No,IPS LCD,320.0,Yes,3.0,3.0,679
741,RACRO A1 Smart,A1 Smart Watch,2591.0,Android & iOS,Yes,Yes,Yes,No,TFT LED,370.0,Yes,,3.0,849
742,REDMI Note 12,Note 12 5G,169.4,,No,No,Yes,No,Super AMOLED,,Yes,,,15499
743,Fastrack Revoltt FS1,Revoltt FS1 Pro|World's,49.78,Android & iOS,Yes,Yes,No,No,Super AMOLED,456.0,Yes,1.5,7.0,2499
744,POCO M6 Pro,M6 Pro 5G,172.5,,No,No,Yes,No,HD,,Yes,,,13999
745,beatXP Vega 1.43'',Vega 1.43'' Super,36.32,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1899
748,boAt Wave Select,Wave Select with,41.91,Android & iOS,No,Yes,No,No,Other,260.0,Yes,,10.0,1299
749,Jocoto OP500_D20 PRO,OP500_D20 PRO MULTI,34.0,Android & iOS,No,Yes,No,No,IPS TFt,320.0,Yes,,5.0,499
750,NB EMPIRE Android,Android Smart Watch,,Android & iOS,Yes,Yes,No,Yes,AMOLED,320.0,Yes,,3.0,559
751,"Pebble Crest 2.02""Infinite","Crest 2.02""Infinite Display,Rugged",48.51,Android & iOS,Yes,Yes,No,No,IPS TFt,352.0,Yes,1.0,0.20833333333333334,1499
752,beatXP Marv Sense,Marv Sense 1.96'',49.78,Android & iOS,Yes,Yes,No,No,Other,353.0,Yes,,7.0,999
754,Boult Drift Pro,"Drift Pro 1.78""",45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,,7.0,2199
755,Raysx Android 4G,Android 4G Calling,40.0,Android & iOS,Yes,Yes,No,No,Other,,Yes,,2.0,640
756,PS COLLECTION New,New T55 Men,45.0,Android & iOS,Yes,Yes,Yes,Yes,TFT LED,,Yes,0.25,10.0,660
758,Fire-Boltt Ninja Calling,Ninja Calling Pro,46.482,Android & iOS,Yes,Yes,No,No,IPS LCD,263.0,Yes,1.0,5.0,1499
759,boAt Wave Genesis,Wave Genesis Pro,49.7,Android & iOS,Yes,Yes,No,No,AMOLED,456.0,Yes,,7.0,2899
760,Fire-Boltt Hunter 2.01,Hunter 2.01 inch,51.053999999999995,Android & iOS,Yes,Yes,No,Yes,IPS TFt,268.0,Yes,1.0,5.0,1599
762,Time Up Women,Women Series-7 Slim,38.0,Android & iOS,Yes,Yes,No,No,HD,352.0,Yes,30.0,6.0,2339
763,Noise Caliber 3,Caliber 3 1.78,45.212,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,2499
764,boAt Storm Plus,Storm Plus with,45.211999999999996,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,1999
766,Noise Colorfit Icon,Colorfit Icon 2,45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1499
767,BOOMFIRE T800 Ultra,T800 Ultra 4G,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,789
769,Noise Icon Buzz,"Icon Buzz 1.69""",42.925999999999995,Android & iOS,Yes,Yes,No,No,IPS LCD,260.0,Yes,1.0,7.0,1299
770,Noise Caliber 3,Caliber 3 Plus,49.784,Android & iOS,Yes,Yes,No,No,Other,456.0,Yes,,7.0,2999
771,Bymaya A1104 ULTRA,A1104(ID116) ULTRA MULTI,34.0,Android & iOS,No,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,402
772,boAt Lunar Prime,Lunar Prime w/,35.3,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,10.0,2499
774,Offtrot UltraT-800 Series,UltraT-800 Series 8,25.0,Android & iOS,Yes,Yes,No,No,IPS TFt,1080.0,Yes,10.0,4.0,699
775,"Fire-Boltt Talk 1.28""Bluetooth","Talk 1.28""Bluetooth Calling",32.512,Android & iOS,Yes,Yes,No,No,HD,240.0,Yes,,0.4166666666666667,1099
776,beatXP Marv Ace,Marv Ace 1.85'',46.99,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,999
778,vivo T2 Pro,T2 Pro 5G,172.2,,No,No,Yes,No,AMOLED,,Yes,,,23999
779,Kechaoda A27  ,A27,16.8,,No,No,No,No,Other,,No,,,988
781,Zwero T55 Smart,T55 Smart Watch,44.0,Android & iOS,Yes,Yes,Yes,No,TFT LED,,Yes,1.5,3.0,639
782,MOTOROLA e22s   ,e22s,165.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,7399
783,SSN Global F5,F5 5G SIM,49.0,Android & iOS,Yes,Yes,No,No,Other,320.0,Yes,,2.0,687
785,Gamesir KIDS Watch-1,KIDS Watch-1 Sos,34.0,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,0.5,2.0,1300
787,Noise Mettle 1.4'',"Mettle 1.4'' display,",35.56,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,2199
788,beatXP Vega Neo,Vega Neo 1.43'',36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,,7.0,1799
789,fire turtle Ultra,Ultra Gaming Watch,49.0,Android & iOS,Yes,Yes,No,No,Other,1080.0,Yes,,1.0,989
790,DIZO Watch D,Watch D Sharp,44.449999999999996,Android & iOS,No,Yes,No,No,IPS TFt,355.0,Yes,50.0,14.0,1599
795,ULTRON Trendy latest,Trendy latest Gen9,49.0,Android,Yes,Yes,No,No,AMOLED,320.0,Yes,,10.0,2199
796,BORNFIRE Ultra T800,Ultra T800 Series,69.0,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,789
799,technofill T55 Unisex,T55 Unisex,44.0,Android & iOS,Yes,Yes,No,No,Other,720.0,Yes,,3.0,628
801,Cellecor X3  ,X3,45.7,,No,No,No,No,Other,,No,,,979
802,"Fire-Boltt Sphere 1.6""","Sphere 1.6"" Sporty",40.64,Android & iOS,Yes,Yes,No,No,HD,400.0,Yes,1.0,7.0,2499
803,SAMSUNG Galaxy S23,Galaxy S23 5G,154.9,,No,No,Yes,No,AMOLED,,Yes,,,64999
806,boAt Wave Infinity,Wave Infinity with,46.99,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1999
807,Medulla MD DZ09-214,MD DZ09-214 phone,,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,,2.0,823
808,beatXP Marv Neo,Marv Neo 1.85'',46.0,Android & iOS,Yes,Yes,No,No,HD,260.0,Yes,1.5,7.0,5499
809,KARBONN KX 29  ,KX 29,61.0,,No,No,No,No,Other,,No,,,1404
810,boAt Wave Vivid,Wave Vivid with,50.8,Android & iOS,Yes,Yes,No,No,Other,456.0,Yes,,7.0,2999
811,Urban Wings T800,T800 Ultra,44.0,Android & iOS,Yes,Yes,No,No,AMOLED,460.0,Yes,,0.75,673
813,"LONGWINGS 1.99'' Screen,","1.99'' Screen, BT",49.0,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,10.0,3.0,799
814,"Fire-Boltt Sphere 1.6""","Sphere 1.6"" Sporty",40.64,Android & iOS,Yes,Yes,No,No,HD,400.0,Yes,1.0,7.0,2499
816,Ambrane Crest Pro,Crest Pro 1.52'',38.608,Android & iOS,Yes,Yes,No,No,Other,360.0,Yes,,7.0,1999
817,boAt Wave Beat,Wave Beat Call,42.925999999999995,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,1299
818,DTJ Bluetooth Smart,Bluetooth Smart Watch,39.0,Android,Yes,Yes,No,No,Other,380.0,Yes,,50.0,411
819,Fire-Boltt Epic Plus,"Epic Plus with1.83""",46.482,Android & iOS,No,Yes,No,No,HD,260.0,Yes,1.0,7.0,1099
821,Fastrack FR1|1.39 inch,FR1|1.39 inch Super,35.306,Android & iOS,Yes,Yes,No,No,IPS LCD,360.0,Yes,1.5,5.0,1999
822,Cellecor X3  ,X3,45.7,,No,No,No,No,Other,,No,,,979
823,Graceful T500 Bluetooth,T500 Bluetooth Calling,44.0,Android & iOS,Yes,Yes,No,Yes,TFT LED,480.0,Yes,,2.0,615
824,Boult Striker Bluetooth,"Striker Bluetooth Calling,",33.019999999999996,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,7.0,1199
825,Fire-Boltt Ninja Pro,Ninja Pro Max,51.053999999999995,Android & iOS,Yes,Yes,No,No,IPS TFt,266.0,Yes,1.0,25.0,1699
827,Cubonic New S8,New S8 ULTRA,49.0,Android & iOS,Yes,Yes,Yes,Yes,HD,320.0,Yes,,2.0,6489
829,boAt Ultima Connect,Ultima Connect with,46.228,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1299
832,SSN Global F5,F5 5G SIM,49.0,Android & iOS,Yes,Yes,No,No,Other,320.0,Yes,,2.0,703
834,boAt Ultima Prism,Ultima Prism with,49.784,Android & iOS,Yes,Yes,No,No,Other,456.0,Yes,,7.0,2999
835,Fire-Boltt Ninja Pro,Ninja Pro Max,40.64,Android & iOS,No,Yes,No,No,IPS LCD,260.0,Yes,1.0,8.0,1099
837,Boult Cosmic 1.69,Cosmic 1.69 inch,42.925999999999995,Android & iOS,No,Yes,No,No,IPS TFt,260.0,Yes,1.0,10.0,1199
848,Pebble Frost Pro,"Frost Pro 1.96""",49.784,Android & iOS,Yes,Yes,No,No,IPS TFt,,Yes,1.0,0.20833333333333334,1199
850,Ambrane Wise-Eon 1.69Lucid,Wise-Eon 1.69Lucid Display,42.926,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1499
851,Micromax X809  ,X809,71.10000000000001,,No,No,No,No,Other,,No,,,1252
853,I Kall K100  ,K100,45.7,,No,No,No,No,Other,,No,,,682
855,Fire-Boltt Talk Go,Talk Go 1.3'',33.019999999999996,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,15.0,1399
856,Pebble Cosmos Engage,"Cosmos Engage 1.95""",49.53,Android & iOS,Yes,Yes,No,No,IPS TFt,460.0,Yes,1.0,0.16666666666666666,2499
858,NIKHILX T800 ultra,T800 ultra smart,49.0,Android,Yes,Yes,No,No,Other,1024.0,Yes,,4.0,614
859,SAMSUNG Watch 4,Watch 4 Classic,35.559999999999995,Android,Yes,Yes,No,No,Super AMOLED,315.0,Yes,50.0,40.0,16990
862,Smartbeats T900 Pro,T900 Pro Max,45.0,Android & iOS,Yes,Yes,No,No,HD,263.0,Yes,0.1,3.0,899
865,Noise Loop 1.85'',Loop 1.85'' Display,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.5,7.0,1399
866,boAt Wave Genesis,Wave Genesis with,49.784,Android & iOS,Yes,Yes,No,No,Other,266.0,Yes,,7.0,2199
869,REDMI 11 Prime,11 Prime,167.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,10249
871,Apple Watch Series,Watch Series 9,41.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,391.0,Yes,50.0,0.75,41900
873,boAt Wave Genesis,Wave Genesis with,49.784,Android & iOS,Yes,Yes,No,No,Other,266.0,Yes,,7.0,2199
877,alt OG Max,OG Max with,45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1199
879,MDK IDS116 SMART,IDS116 SMART BRACELET,44.0,Android & iOS,Yes,Yes,No,No,Other,400.0,Yes,,50.0,447
880,Pebble Cosmos Quest,"Cosmos Quest 1.43""AMOLED",36.32,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,1.0,7.0,2799
881,Sekyo S2 kids,S2 kids smart,36.0,Android & iOS,Yes,No,No,Yes,TFT LED,256.0,Yes,0.0,3.0,2389
882,Infinix SMART 8,SMART 8 HD,167.60000000000002,,No,No,Yes,No,IPS,,Yes,,,6299
884,Fire-Boltt Rock 1.3,Rock 1.3 AMOLED,33.019999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,390.0,Yes,1.0,0.2916666666666667,3499
885,TECHMAZE DZ09 Bluetooth,DZ09 Bluetooth 4G,40.0,Android & iOS,Yes,Yes,Yes,Yes,Other,312.0,Yes,5.0,8.0,879
887,Fire-Boltt Grenade 1.39'',Grenade 1.39'' HD,35.306,Android & iOS,Yes,Yes,No,Yes,IPS TFt,360.0,Yes,1.0,9.0,1999
888,PS COLLECTION New,New Smartwatch T55,45.0,Android & iOS,Yes,Yes,Yes,Yes,TFT LED,,Yes,0.25,10.0,799
889,"Pebble Carbon 1.39""HD","Carbon 1.39""HD Display,Black",35.3,Android & iOS,Yes,Yes,No,No,HD,,Yes,1000.0,7.0,1299
890,boAt Lunar Mirage,Lunar Mirage with,38.6,Android & iOS,Yes,Yes,No,No,Other,383.0,Yes,,7.0,1899
892,Tecno Spark Go,Spark Go 2023,166.6,,No,No,Yes,No,IPS LCD,,Yes,,,6249
893,Noise Caliber 3,Caliber 3 Plus,49.784,Android & iOS,Yes,Yes,No,No,Other,456.0,Yes,,7.0,3299
895,"Fire-Boltt Hurricane 1.3""","Hurricane 1.3"" Curved",1.3,Android & iOS,No,Yes,No,No,HD,240.0,Yes,1.0,15.0,1299
897,"Pebble Vogue 1.96""","Vogue 1.96"" Amoled",49.784,Android & iOS,Yes,Yes,No,No,AMOLED,456.0,Yes,1.0,5.0,2099
898,Fastrack Optimus with,Optimus with 1.43'',36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.5,7.0,3499
899,Bymaya H2877_Y68 ULTRA,H2877_Y68 ULTRA HEART,33.03,Android & iOS,Yes,Yes,No,No,IPS TFt,320.0,Yes,50.0,1.0,455
900,PunnkFunnk S9 Model,S9 Model with,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,0.5,3.0,2000
902,boAt Lunar Seek,Lunar Seek with,35.3,Android & iOS,Yes,Yes,No,No,Other,383.0,Yes,,7.0,1499
905,Boult Drift+ Bluetooth,"Drift+ Bluetooth Calling,",46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,7.0,1099
906,FRONY BHL123_NC77-D20 ULTRA,BHL123_NC77-D20 ULTRA WITH,26.0,Android & iOS,No,Yes,No,No,Other,312.0,Yes,,24.0,499
907,MOTOROLA g22   ,g22,165.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,10999
908,"itel it2163s 4.5cm,1200mAh,BT","it2163s 4.5cm,1200mAh,BT Caller,12+1",45.7,,No,No,No,No,Other,,No,,,949
910,Fire-Boltt King Luxury,King Luxury Stainless,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,7.0,2999
911,KARBONN KU3+  ,KU3+,61.0,,No,No,No,No,Other,,No,,,999
912,REDMI Note 12,Note 12 5G,169.4,,No,No,Yes,No,Super AMOLED,,Yes,,,18999
915,Zeorgia T800 Ultra,T800 Ultra 1.99,50.546,Android & iOS,Yes,Yes,No,No,IPS LCD,353.0,Yes,,3.0,659
916,Fire-Boltt Talk Ultra,Talk Ultra 1.39,35.306,Android & iOS,Yes,Yes,No,No,IPS LCD,240.0,Yes,1.0,7.0,1599
918,Like Star T800,T800 Ultra Series,49.0,Android,Yes,Yes,Yes,Yes,Other,550.0,Yes,,1.5,639
919,Gamesir T800 BT,T800 BT watch,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,0.5,3.0,800
920,Fire-Boltt Blizzard Ultra,Blizzard Ultra 1.28'',32.512,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,,0.8333333333333334,3999
921,Mui Ultra Seris,Ultra Seris 8,49.0,Android & iOS,Yes,Yes,No,No,HD,320.0,Yes,,1.0,650
923,Correngo A1 Smart,A1 Smart Watch,40.0,Android & iOS,Yes,Yes,No,No,Other,320.0,Yes,,5.0,1499
924,"Fire-Boltt Blizzard 1.28""","Blizzard 1.28"" Luxury",32.512,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,7.0,2999
